COD_IBGE;UF;MUNICIPIO;POPULACAO;RANGE_POP;CAPITAL
5006200;MS;Nova Andradina;56057;>50k;
3118007;MG;Congonhas;55836;>50k;
1100288;RO;Rolim de Moura;55748;>50k;
1500206;PA;Acará;55744;>50k;
3537800;SP;Piedade;55731;>50k;
4109807;PR;Ibiporã;55688;>50k;
3533908;SP;Olímpia;55477;>50k;
3549706;SP;São José do Rio Pardo;55298;>50k;
2907509;BA;Catu;55222;>50k;
2304707;CE;Granja;55170;>50k;
2304285;CE;Eusébio;55035;>50k;
4304630;RS;Capão da Canoa;55009;>50k;
2917607;BA;Jaguaquara;54913;>50k;
2902104;BA;Araci;54903;>50k;
4216206;SC;São Francisco do Sul;54751;>50k;
